Country,Region,Population,GDP ($ per capita),Literacy (%),Climate
Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,193413,1200.0,79.3,2.0
Saudi Arabia ,NEAR EAST                          ,27019731,11800.0,78.8,1.0
Senegal ,SUB-SAHARAN AFRICA                 ,11987121,1600.0,40.2,2.0
Serbia ,EASTERN EUROPE                     ,9396411,2200.0,93.0,
Seychelles ,SUB-SAHARAN AFRICA                 ,81541,7800.0,58.0,2.0
Sierra Leone ,SUB-SAHARAN AFRICA                 ,6005250,500.0,31.4,2.0
Singapore ,ASIA (EX. NEAR EAST)         ,4492150,23700.0,92.5,2.0
Slovakia ,EASTERN EUROPE                     ,5439448,13300.0,,3.0
Slovenia ,EASTERN EUROPE                     ,2010347,19000.0,99.7,
Solomon Islands ,OCEANIA                            ,552438,1700.0,,2.0
Somalia ,SUB-SAHARAN AFRICA                 ,8863338,500.0,37.8,1.0
South Africa ,SUB-SAHARAN AFRICA                 ,44187637,10700.0,86.4,1.0
Spain ,WESTERN EUROPE                     ,40397842,22000.0,97.9,3.0
Sri Lanka ,ASIA (EX. NEAR EAST)         ,20222240,3700.0,92.3,2.0
Sudan ,SUB-SAHARAN AFRICA                 ,41236378,1900.0,61.1,2.0
Suriname ,LATIN AMER. & CARIB    ,439117,4000.0,93.0,2.0
Swaziland ,SUB-SAHARAN AFRICA                 ,1136334,4900.0,81.6,2.5
Sweden ,WESTERN EUROPE                     ,9016596,26800.0,99.0,3.0
Switzerland ,WESTERN EUROPE                     ,7523934,32700.0,99.0,3.0
Syria ,NEAR EAST                          ,18881361,3300.0,76.9,1.0
Taiwan ,ASIA (EX. NEAR EAST)         ,23036087,23400.0,96.1,2.0
Tajikistan ,C.W. OF IND. STATES ,7320815,1000.0,99.4,2.0
Tanzania ,SUB-SAHARAN AFRICA                 ,37445392,600.0,78.2,
Thailand ,ASIA (EX. NEAR EAST)         ,64631595,7400.0,92.6,2.0
Togo ,SUB-SAHARAN AFRICA                 ,5548702,1500.0,60.9,2.0
Tonga ,OCEANIA                            ,114689,2200.0,98.5,2.0
Trinidad & Tobago ,LATIN AMER. & CARIB    ,1065842,9500.0,98.6,2.0
Tunisia ,NORTHERN AFRICA                    ,10175014,6900.0,74.2,3.0
Turkey ,NEAR EAST                          ,70413958,6700.0,86.5,3.0
